Date,Value
2001-01-01,23637
2002-01-01,36757
2003-01-01,49675
2004-01-01,70069
2005-01-01,92622
2006-01-01,123897
2007-01-01,161346
2008-01-01,147469
2009-01-01,137279
2010-01-01,143903
2011-01-01,154123
2012-01-01,172770
2013-01-01,189124
2014-01-01,215531
2015-01-01,257644
2016-01-01,247364
2017-01-01,253242
2018-01-01,266863
2019-01-01,293518
2020-01-01,307600
2021-01-01,361269
2022-01-01,437459
2023-01-01,494898
